Name,Total Paid Claims,Total Claim Dollars Paid
Hancock,0,$0.00
Ohio,0,$0.00
McLean,0,$0.00
Boyd,9,$117878.16
Greenup,41,$296905.32
Graves,16,$230387.74
Marshall,0,$0.00
Oldham,0,$0.00
Jefferson,16,$344816.16
Bullitt,0,$0.00
Bourbon,1,$11306.01
Clark,36,$480592.94
Montgomery,4,$134013.93
Butler,0,$0.00
Grayson,0,$0.00
Casey,0,$0.00
Russell,0,$0.00
Marion,0,$0.00
Nelson,0,$0.00
Pulaski,2,$4931.57
Muhlenberg,0,$0.00
Lee,1,$38927.81
Wolfe,0,$0.00
Powell,11,$71240.38
Owen,1,$13356.27
Carroll,1,$2220.88
Woodford,3,$20502.98
Scott,0,$0.00
Hopkins,0,$0.00
Logan,0,$0.00
Gallatin,0,$0.00
Boone,0,$0.00
Garrard,0,$0.00
Boyle,0,$0.00
Washington,1,$9950.78
Trigg,0,$0.00
Perry,22,$479316.60
Clay,1,$3222.80
Jackson,4,$60163.67
Menifee,0,$0.00
Rowan,4,$13822.93
Edmonson,0,$0.00
Caldwell,0,$0.00
Webster,0,$0.00
Adair,0,$0.00
Green,0,$0.00
Trimble,0,$0.00
Mercer,4,$62555.02
Jessamine,1,$2525.58
Hardin,1,$2300.49
Hart,0,$0.00
Shelby,0,$0.00
Monroe,0,$0.00
Allen,0,$0.00
Bracken,0,$0.00
Robertson,0,$0.00
Fleming,8,$157623.65
Pike,63,$716631.13
Knott,23,$212435.76
Breathitt,10,$85098.15
Floyd,245,$2720317.23
Martin,26,$290367.25
Laurel,0,$0.00
McCreary,0,$0.00
Pendleton,1,$3936.89
Spencer,0,$0.00
Cumberland,0,$0.00
Clinton,0,$0.00
Wayne,0,$0.00
Barren,0,$0.00
Warren,0,$0.00
Hickman,0,$0.00
Calloway,0,$0.00
Estill,2,$39500.33
Owsley,0,$0.00
Breckinridge,0,$0.00
Lawrence,7,$108945.26
Morgan,4,$26612.72
Johnson,14,$107624.83
Simpson,0,$0.00
Grant,0,$0.00
Kenton,1,$372.60
Metcalfe,0,$0.00
Whitley,0,$0.00
Harrison,0,$0.00
Anderson,2,$21029.47
Carlisle,0,$0.00
McCracken,1,$4420.67
Livingston,0,$0.00
Crittenden,0,$0.00
Lyon,0,$0.00
Madison,3,$33934.83
Rockcastle,0,$0.00
Magoffin,8,$40647.94
Leslie,2,$11516.76
Bell,9,$27765.81
Nicholas,1,$10197.70
Campbell,13,$84135.90
Lewis,0,$0.00
Fulton,2,$41321.72
Henderson,0,$0.00
Daviess,0,$0.00
Harlan,11,$42889.54
Mason,0,$0.00
Larue,0,$0.00
Lincoln,0,$0.00
Carter,90,$1445997.42
Christian,0,$0.00
Elliott,1,$10003.65
Letcher,1,$552.68
Knox,2,$19646.41
Todd,0,$0.00
Union,0,$0.00
Fayette,13,$215323.79
Meade,0,$0.00
Ballard,0,$0.00
Bath,1,$4539.99
Taylor,0,$0.00
Henry,0,$0.00
Franklin,5,$16700.40
