Name,Total Paid Claims,Total Claim Dollars Paid
Dukes,0,$0.00
Nantucket,37,$1863189.59
Barnstable,27,$505379.94
Worcester,3,$5712.74
Hampshire,0,$0.00
Norfolk,30,$525547.03
Bristol,4,$13539.80
Plymouth,455,$11422800.27
Hampden,0,$0.00
Suffolk,18,$168446.63
Essex,74,$3640151.97
Middlesex,7,$216718.53
Berkshire,4,$45416.22
Franklin,1,$15644.34
