Name,Total Paid Claims,Total Claim Dollars Paid
Wayne,8,$86403.24
Reynolds,23,$624683.68
Carter,13,$339217.69
Newton,3,$48930.77
Andrew,6,$143291.07
Nodaway,2,$42000.00
Scotland,0,$0.00
Knox,0,$0.00
Jasper,14,$172660.83
Barton,0,$0.00
Worth,0,$0.00
Grundy,0,$0.00
Livingston,1,$13470.00
Maries,15,$243625.63
Miller,3,$26988.83
Gasconade,84,$2066956.62
Osage,43,$763590.08
Buchanan,116,$3089286.49
Platte,98,$8584213.64
Stone,1,$2293.93
Lewis,23,$359277.72
Marion,130,$6348641.51
Lafayette,4,$61559.09
Johnson,0,$0.00
Pike,96,$1619192.63
Audrain,2,$5009.66
Sullivan,0,$0.00
Mercer,0,$0.00
McDonald,0,$0.00
Barry,4,$188829.43
Ralls,3,$50000.00
Scott,35,$483718.35
New Madrid,0,$0.00
St. Francois,11,$181324.25
Jefferson,705,$14980547.08
Ste. Genevieve,241,$3049795.39
Iron,6,$19639.56
Washington,5,$38157.58
Perry,216,$4687764.14
Lawrence,1,$9872.06
Madison,10,$84110.65
Gentry,0,$0.00
Montgomery,73,$918659.00
Clark,29,$1019725.84
Macon,0,$0.00
Adair,3,$11386.40
Cedar,0,$0.00
Polk,0,$0.00
Hickory,5,$340500.00
Camden,5,$93084.64
St. Louis,1670,$50759529.08
Douglas,0,$0.00
Howell,8,$78174.92
Chariton,11,$131797.82
Morgan,0,$0.00
Benton,12,$237646.63
Oregon,7,$225381.77
Linn,1,$14800.00
Randolph,0,$0.00
Monroe,1,$41000.00
Warren,46,$882605.39
Clay,58,$1708550.16
Harrison,2,$15122.92
Dallas,0,$0.00
Greene,15,$182069.19
Daviess,27,$556882.23
Saline,6,$97579.70
Cooper,4,$93986.75
Boone,30,$551776.18
Dent,0,$0.00
Bates,0,$0.00
Henry,0,$0.00
Jackson,140,$5282124.35
Texas,0,$0.00
Pettis,1,$2999.78
Dade,0,$0.00
Christian,1,$13931.31
Moniteau,6,$143374.96
Shelby,0,$0.00
St. Clair,0,$0.00
Crawford,1,$4511.93
Carroll,33,$943111.43
Caldwell,0,$0.00
Clinton,0,$0.00
DeKalb,2,$10260.11
Taney,1,$2061.96
Webster,0,$0.00
Putnam,0,$0.00
Butler,2,$5831.20
Cape Girardeau,100,$1525658.78
Mississippi,0,$0.00
Lincoln,477,$11890617.71
Schuyler,0,$0.00
Cass,5,$27344.02
Dunklin,0,$0.00
Ozark,0,$0.00
Bollinger,1,$7344.81
St. Charles,2191,$60377145.07
Franklin,60,$734322.43
Ripley,22,$350517.96
Ray,122,$1672203.76
Holt,110,$2616324.02
Vernon,2,$4936.47
Laclede,0,$0.00
Pulaski,15,$291209.97
Phelps,28,$777829.29
Wright,0,$0.00
Pemiscot,0,$0.00
Shannon,0,$0.00
Atchison,33,$483075.30
St. Louis,211,$4061855.23
Stoddard,1,$15187.11
Callaway,97,$1965132.34
Cole,91,$2343483.31
Howard,21,$416344.52
