Name,Total Paid Claims,Total Claim Dollars Paid
Alexandria,1,$3876.49
Accomack,183,$2246088.39
Arlington,0,$0.00
Northampton,6,$62712.36
Fairfax,0,$0.00
Fairfax,0,$0.00
Martinsville,0,$0.00
Radford,0,$0.00
Emporia,0,$0.00
Lexington,0,$0.00
Buena Vista,0,$0.00
Dickenson,0,$0.00
Russell,0,$0.00
Prince William,1,$5619.28
Winchester,0,$0.00
Hanover,0,$0.00
Goochland,0,$0.00
Campbell,0,$0.00
Charlotte,0,$0.00
Norton,0,$0.00
Suffolk,19,$454457.69
Fauquier,0,$0.00
Bristol,0,$0.00
Bedford,0,$0.00
Carroll,0,$0.00
Covington,0,$0.00
Alleghany,0,$0.00
Craig,0,$0.00
Halifax,0,$0.00
Augusta,0,$0.00
Albemarle,0,$0.00
Charlottesville,0,$0.00
Caroline,0,$0.00
King William,2,$6782.30
Portsmouth,138,$1019574.47
Wise,0,$0.00
Lee,0,$0.00
Grayson,0,$0.00
Westmoreland,1,$925.81
Essex,1,$1288.28
Madison,0,$0.00
Rappahannock,0,$0.00
Poquoson,28,$182948.71
York,28,$150793.57
Galax,0,$0.00
Manassas Park,0,$0.00
Manassas,0,$0.00
Dinwiddie,1,$11368.44
Greensville,0,$0.00
Henrico,1,$861.70
Giles,0,$0.00
Montgomery,0,$0.00
Stafford,0,$0.00
Fredericksburg,1,$44.00
Culpeper,0,$0.00
Chesapeake,119,$657996.87
Norfolk,245,$1438288.82
Pulaski,0,$0.00
Floyd,0,$0.00
Bland,0,$0.00
Mathews,11,$66571.09
Gloucester,13,$75257.97
King and Queen,0,$0.00
Middlesex,8,$49986.38
Chesterfield,7,$133039.49
Colonial Heights,15,$695834.61
Prince George,4,$74259.38
Hopewell,2,$11127.98
Petersburg,12,$124817.02
Salem,0,$0.00
Roanoke,1,$103.00
Fluvanna,0,$0.00
Cumberland,0,$0.00
Amelia,0,$0.00
Prince Edward,0,$0.00
Hampton,284,$3216041.19
Warren,0,$0.00
Frederick,0,$0.00
Rockbridge,0,$0.00
Nelson,0,$0.00
Charles City,2,$2246.70
Lunenburg,0,$0.00
Smyth,0,$0.00
Isle of Wight,10,$534776.95
Southampton,45,$3008705.53
Franklin,14,$994003.43
King George,0,$0.00
Washington,0,$0.00
James City,58,$981610.57
Williamsburg,0,$0.00
Spotsylvania,0,$0.00
Virginia Beach,193,$1269863.04
Orange,0,$0.00
New Kent,2,$5248.11
Richmond,0,$0.00
Bedford,0,$0.00
Amherst,0,$0.00
Appomattox,0,$0.00
Lynchburg,0,$0.00
Falls Church,0,$0.00
Roanoke,0,$0.00
Danville,0,$0.00
Botetourt,0,$0.00
Pittsylvania,0,$0.00
Rockingham,0,$0.00
Buckingham,0,$0.00
Clarke,0,$0.00
Newport News,110,$1030497.14
Bath,0,$0.00
Tazewell,0,$0.00
Loudoun,0,$0.00
Highland,0,$0.00
Henry,1,$22631.88
Scott,0,$0.00
Brunswick,0,$0.00
Buchanan,0,$0.00
Nottoway,0,$0.00
Franklin,1,$2325.82
Louisa,0,$0.00
Surry,2,$52283.22
Sussex,13,$49605.68
Lancaster,1,$7556.45
Mecklenburg,0,$0.00
Shenandoah,0,$0.00
Northumberland,4,$15030.99
Patrick,0,$0.00
Greene,0,$0.00
Wythe,0,$0.00
Harrisonburg,0,$0.00
Waynesboro,0,$0.00
Staunton,0,$0.00
Powhatan,0,$0.00
Richmond,1,$1411.31
Page,0,$0.00
