Name,Total Paid Claims,Total Claim Dollars Paid
Alexandria,37,$1587340.90
Accomack,38,$472427.87
Arlington,3,$38169.49
Northampton,20,$452998.14
Fairfax,1,$2098.94
Fairfax,117,$4635714.76
Martinsville,0,$0.00
Radford,0,$0.00
Emporia,1,$1104.61
Lexington,0,$0.00
Buena Vista,4,$79250.05
Dickenson,5,$54114.98
Russell,3,$44991.07
Prince William,22,$1562374.17
Winchester,0,$0.00
Hanover,5,$135992.52
Goochland,2,$2054.45
Campbell,0,$0.00
Charlotte,0,$0.00
Norton,5,$89218.31
Suffolk,16,$594934.83
Fauquier,0,$0.00
Bristol,0,$0.00
Bedford,0,$0.00
Carroll,4,$23493.78
Covington,0,$0.00
Alleghany,10,$197848.54
Craig,3,$71153.62
Halifax,4,$52594.58
Augusta,11,$322248.67
Albemarle,1,$17334.40
Charlottesville,0,$0.00
Caroline,0,$0.00
King William,46,$2060845.47
Portsmouth,292,$3389939.38
Wise,28,$151714.61
Lee,4,$45989.37
Grayson,0,$0.00
Westmoreland,73,$4266495.16
Essex,94,$4195422.39
Madison,1,$9434.21
Rappahannock,0,$0.00
Poquoson,1944,$50885679.17
York,862,$28622345.27
Galax,0,$0.00
Manassas Park,0,$0.00
Manassas,0,$0.00
Dinwiddie,0,$0.00
Greensville,1,$26145.24
Henrico,21,$316175.29
Giles,18,$265956.73
Montgomery,9,$60881.67
Stafford,25,$434401.58
Fredericksburg,0,$0.00
Culpeper,0,$0.00
Chesapeake,451,$5954391.63
Norfolk,1121,$16220414.43
Pulaski,1,$5836.99
Floyd,0,$0.00
Bland,10,$222778.29
Mathews,550,$13592362.23
Gloucester,675,$25115597.80
King and Queen,12,$518473.05
Middlesex,71,$1706104.44
Chesterfield,23,$427770.18
Colonial Heights,15,$251495.31
Prince George,7,$80695.86
Hopewell,6,$73617.20
Petersburg,10,$216384.78
Salem,76,$3256589.37
Roanoke,40,$1408360.53
Fluvanna,0,$0.00
Cumberland,0,$0.00
Amelia,2,$22856.77
Prince Edward,1,$3588.52
Hampton,1958,$33358978.67
Warren,20,$189674.96
Frederick,0,$0.00
Rockbridge,19,$437684.13
Nelson,1,$3220.31
Charles City,3,$42032.18
Lunenburg,0,$0.00
Smyth,16,$159708.95
Isle of Wight,22,$822855.79
Southampton,10,$82511.13
Franklin,1,$5765.68
King George,2,$26862.35
Washington,5,$133893.76
James City,135,$3613389.83
Williamsburg,1,$299.97
Spotsylvania,3,$15286.42
Virginia Beach,447,$7060297.76
Orange,0,$0.00
New Kent,12,$315369.47
Richmond,19,$514245.94
Bedford,1,$17438.73
Amherst,1,$41785.50
Appomattox,0,$0.00
Lynchburg,1,$2051.70
Falls Church,0,$0.00
Roanoke,19,$174854.36
Danville,2,$32835.49
Botetourt,8,$132863.29
Pittsylvania,3,$28769.74
Rockingham,11,$52646.38
Buckingham,0,$0.00
Clarke,2,$3258.35
Newport News,139,$2507680.35
Bath,0,$0.00
Tazewell,58,$639574.17
Loudoun,5,$202351.75
Highland,2,$39311.90
Henry,2,$3550.36
Scott,5,$171108.85
Brunswick,1,$12043.80
Buchanan,18,$275730.93
Nottoway,0,$0.00
Franklin,0,$0.00
Louisa,0,$0.00
Surry,29,$1757551.81
Sussex,13,$80949.87
Lancaster,127,$2787166.52
Mecklenburg,0,$0.00
Shenandoah,2,$8576.40
Northumberland,92,$2372304.85
Patrick,0,$0.00
Greene,0,$0.00
Wythe,0,$0.00
Harrisonburg,3,$91029.49
Waynesboro,60,$1265629.50
Staunton,11,$241029.54
Powhatan,0,$0.00
Richmond,6,$146074.75
Page,22,$336238.05
