Name,Total Paid Claims,Total Claim Dollars Paid
Gray,0,$0.00
Roberts,0,$0.00
McMullen,0,$0.00
Duval,0,$0.00
Live Oak,5,$40576.20
Leon,0,$0.00
Houston,0,$0.00
Lamb,0,$0.00
Bailey,0,$0.00
Shelby,0,$0.00
San Augustine,0,$0.00
Uvalde,1,$20368.22
Medina,19,$830713.10
Cass,0,$0.00
Childress,0,$0.00
Yoakum,1,$857.56
Terry,0,$0.00
Zavala,6,$30203.91
Burleson,0,$0.00
Milam,1,$35000.00
Franklin,0,$0.00
Hopkins,0,$0.00
Harrison,3,$51967.94
Smith,15,$373195.86
Rusk,1,$31264.98
Nueces,64,$748118.45
Gaines,0,$0.00
Dickens,0,$0.00
Motley,0,$0.00
Foard,0,$0.00
Cottle,0,$0.00
Upton,0,$0.00
Midland,14,$177244.54
Parmer,0,$0.00
Deaf Smith,0,$0.00
Oldham,0,$0.00
Culberson,0,$0.00
Jeff Davis,0,$0.00
Cochran,0,$0.00
Presidio,0,$0.00
Panola,0,$0.00
Walker,9,$236142.80
Montgomery,24,$313354.85
Harris,1202,$31195532.98
Fort Bend,22,$226696.15
Jim Hogg,2,$9065.63
Zapata,0,$0.00
Jackson,1,$19222.67
Wharton,1,$1147.15
Tom Green,3,$32505.70
Concho,0,$0.00
Orange,40,$468113.81
McLennan,36,$868987.93
Hill,2,$6942.05
Floyd,0,$0.00
Hale,0,$0.00
Hockley,0,$0.00
Lubbock,1,$3995.13
Wheeler,0,$0.00
Crosby,0,$0.00
Hemphill,0,$0.00
Anderson,0,$0.00
Fisher,0,$0.00
Jones,29,$1927848.91
Collingsworth,0,$0.00
Hardin,42,$675562.12
Tyler,0,$0.00
Nacogdoches,0,$0.00
Winkler,0,$0.00
La Salle,0,$0.00
Reagan,0,$0.00
Glasscock,0,$0.00
DeWitt,4,$196224.16
Karnes,0,$0.00
Lavaca,1,$4567.31
Coryell,14,$149538.72
Bosque,4,$97696.62
Rockwall,1,$9775.13
Dallas,27,$393396.23
Knox,0,$0.00
Kaufman,0,$0.00
Schleicher,0,$0.00
Menard,0,$0.00
Sabine,0,$0.00
Hansford,0,$0.00
Hutchinson,0,$0.00
Carson,0,$0.00
Brooks,1,$10206.56
Irion,0,$0.00
Lee,1,$123298.77
Aransas,5,$17292.53
Cherokee,8,$233583.25
Somervell,5,$97600.62
Erath,0,$0.00
Johnson,7,$66424.33
Grimes,1,$34529.23
San Jacinto,0,$0.00
Hood,7,$122109.99
Real,0,$0.00
Galveston,56,$954696.07
Chambers,7,$95499.98
Limestone,4,$78191.79
Robertson,1,$3965.98
Madison,0,$0.00
Brazos,11,$251104.74
Angelina,1,$88530.36
Hunt,1,$18544.56
Fannin,0,$0.00
Grayson,112,$6177183.75
San Saba,0,$0.00
Burnet,75,$2738999.72
Delta,0,$0.00
Baylor,0,$0.00
Blanco,0,$0.00
Llano,40,$721288.40
Bandera,10,$332710.07
Bexar,90,$1868405.50
Atascosa,4,$111545.17
Frio,1,$42196.13
Marion,2,$48693.25
Morris,0,$0.00
Hidalgo,21,$284739.46
Bell,46,$974978.12
King,0,$0.00
Runnels,0,$0.00
Val Verde,9,$246066.17
Sutton,0,$0.00
Kinney,0,$0.00
Edwards,0,$0.00
Comal,8,$59521.81
Guadalupe,30,$671588.53
Washington,0,$0.00
Rains,0,$0.00
Ellis,12,$212925.96
Henderson,5,$220721.78
Dallam,0,$0.00
Sherman,0,$0.00
Wilson,2,$26335.50
Van Zandt,1,$10002.42
Calhoun,13,$244401.90
Refugio,3,$41408.94
Matagorda,14,$242501.07
Moore,0,$0.00
Wood,0,$0.00
Camp,0,$0.00
Denton,61,$2045226.32
Tarrant,172,$3864642.09
Kleberg,10,$49323.66
Kenedy,0,$0.00
Randall,6,$159238.04
Swisher,0,$0.00
Reeves,0,$0.00
Maverick,1,$10218.88
Webb,36,$648720.07
San Patricio,10,$41088.23
Jim Wells,29,$301175.02
Martin,0,$0.00
Dawson,1,$5731.33
Trinity,4,$93123.06
Hall,1,$1000.00
Bowie,0,$0.00
Upshur,0,$0.00
Terrell,0,$0.00
Crockett,1,$11661.63
Pecos,0,$0.00
Navarro,8,$80894.86
Freestone,1,$1090.94
Nolan,10,$189513.04
Taylor,24,$231375.84
Coleman,0,$0.00
Andrews,0,$0.00
Williamson,31,$1210225.37
Potter,0,$0.00
Archer,5,$355601.60
Clay,5,$229862.36
Jack,0,$0.00
Young,1,$19780.18
Parker,19,$348681.83
Victoria,20,$1225572.28
Garza,0,$0.00
Lynn,0,$0.00
Palo Pinto,12,$135669.62
Eastland,52,$1963547.05
Callahan,0,$0.00
Shackelford,0,$0.00
Haskell,2,$16099.58
Starr,3,$70206.85
Brewster,0,$0.00
Dimmit,0,$0.00
Caldwell,1,$12538.66
Hays,10,$184625.23
Montague,2,$12970.56
Brown,28,$550149.92
Kendall,25,$770728.10
Kerr,10,$133810.08
Gillespie,1,$15369.07
Cameron,75,$1120983.02
Waller,2,$25892.88
Mason,1,$5759.86
Collin,1,$4504.19
Hartley,0,$0.00
Gonzales,7,$211252.62
Gregg,7,$69418.32
Falls,0,$0.00
Austin,3,$41248.10
Fayette,1,$3262.87
Armstrong,0,$0.00
Briscoe,0,$0.00
Brazoria,51,$621640.32
Kimble,0,$0.00
Wilbarger,0,$0.00
Wichita,78,$4053422.18
Bee,8,$180164.16
Goliad,1,$14593.12
Willacy,5,$61527.84
Jasper,1,$4888.76
Newton,0,$0.00
McCulloch,0,$0.00
Lampasas,9,$101910.00
Hamilton,0,$0.00
Travis,120,$4642439.83
Kent,0,$0.00
Bastrop,1,$169231.10
Hudspeth,1,$245314.10
Ward,0,$0.00
Loving,0,$0.00
Coke,0,$0.00
Castro,0,$0.00
Lipscomb,2,$174659.27
Ochiltree,0,$0.00
Scurry,0,$0.00
Polk,0,$0.00
Liberty,8,$174281.62
Stonewall,0,$0.00
Colorado,0,$0.00
Ector,26,$363612.47
Wise,6,$72922.56
Cooke,114,$6295684.39
Jefferson,69,$533334.44
Howard,0,$0.00
Red River,0,$0.00
Sterling,0,$0.00
Mitchell,0,$0.00
Borden,0,$0.00
Hardeman,0,$0.00
Lamar,1,$9506.34
Throckmorton,0,$0.00
Donley,1,$1780.06
El Paso,5,$56515.97
Comanche,1,$30000.00
Crane,0,$0.00
Mills,0,$0.00
Titus,0,$0.00
Stephens,7,$69921.40
