Name,Total Paid Claims,Total Claim Dollars Paid
Gray,0,$0.00
Roberts,0,$0.00
McMullen,0,$0.00
Duval,3,$71474.34
Live Oak,0,$0.00
Leon,0,$0.00
Houston,1,$13886.07
Lamb,0,$0.00
Bailey,0,$0.00
Shelby,0,$0.00
San Augustine,0,$0.00
Uvalde,1,$76280.62
Medina,1,$6628.29
Cass,1,$17857.04
Childress,0,$0.00
Yoakum,0,$0.00
Terry,0,$0.00
Zavala,1,$24219.15
Burleson,0,$0.00
Milam,0,$0.00
Franklin,0,$0.00
Hopkins,0,$0.00
Harrison,18,$201084.57
Smith,5,$99760.94
Rusk,2,$11098.34
Nueces,35,$304635.19
Gaines,0,$0.00
Dickens,0,$0.00
Motley,0,$0.00
Foard,0,$0.00
Cottle,0,$0.00
Upton,0,$0.00
Midland,0,$0.00
Parmer,0,$0.00
Deaf Smith,0,$0.00
Oldham,0,$0.00
Culberson,0,$0.00
Jeff Davis,0,$0.00
Cochran,0,$0.00
Presidio,0,$0.00
Panola,0,$0.00
Walker,13,$188649.59
Montgomery,483,$16584875.94
Harris,20467,$872924960.33
Fort Bend,133,$1529321.59
Jim Hogg,0,$0.00
Zapata,0,$0.00
Jackson,3,$17793.51
Wharton,7,$143410.21
Tom Green,1,$6955.24
Concho,0,$0.00
Orange,57,$647756.33
McLennan,4,$88049.77
Hill,0,$0.00
Floyd,0,$0.00
Hale,0,$0.00
Hockley,0,$0.00
Lubbock,3,$12548.21
Wheeler,0,$0.00
Crosby,0,$0.00
Hemphill,0,$0.00
Anderson,0,$0.00
Fisher,0,$0.00
Jones,0,$0.00
Collingsworth,0,$0.00
Hardin,83,$1842394.98
Tyler,3,$15847.96
Nacogdoches,13,$589162.07
Winkler,0,$0.00
La Salle,0,$0.00
Reagan,0,$0.00
Glasscock,0,$0.00
DeWitt,2,$21896.46
Karnes,0,$0.00
Lavaca,2,$275980.86
Coryell,0,$0.00
Bosque,1,$296.22
Rockwall,0,$0.00
Dallas,31,$318865.72
Knox,0,$0.00
Kaufman,3,$36446.53
Schleicher,0,$0.00
Menard,0,$0.00
Sabine,0,$0.00
Hansford,0,$0.00
Hutchinson,0,$0.00
Carson,0,$0.00
Brooks,0,$0.00
Irion,0,$0.00
Lee,0,$0.00
Aransas,5,$24581.85
Cherokee,0,$0.00
Somervell,0,$0.00
Erath,0,$0.00
Johnson,1,$1334.49
Grimes,0,$0.00
San Jacinto,7,$54081.72
Hood,0,$0.00
Real,1,$619.96
Galveston,1532,$44311562.76
Chambers,13,$210019.67
Limestone,22,$473548.12
Robertson,0,$0.00
Madison,1,$5753.33
Brazos,18,$339554.09
Angelina,3,$56399.08
Hunt,6,$176200.69
Fannin,0,$0.00
Grayson,4,$14369.24
San Saba,0,$0.00
Burnet,4,$32305.57
Delta,0,$0.00
Baylor,0,$0.00
Blanco,1,$17495.77
Llano,4,$14465.51
Bandera,1,$3361.20
Bexar,38,$386622.45
Atascosa,0,$0.00
Frio,0,$0.00
Marion,7,$97301.53
Morris,0,$0.00
Hidalgo,21,$176145.55
Bell,18,$231782.30
King,0,$0.00
Runnels,0,$0.00
Val Verde,0,$0.00
Sutton,0,$0.00
Kinney,0,$0.00
Edwards,0,$0.00
Comal,4,$38355.77
Guadalupe,16,$597570.66
Washington,0,$0.00
Rains,0,$0.00
Ellis,3,$26591.79
Henderson,1,$93547.10
Dallam,0,$0.00
Sherman,0,$0.00
Wilson,4,$50326.86
Van Zandt,0,$0.00
Calhoun,13,$130310.74
Refugio,8,$248031.29
Matagorda,14,$224457.84
Moore,0,$0.00
Wood,0,$0.00
Camp,0,$0.00
Denton,2,$10613.53
Tarrant,35,$808712.75
Kleberg,3,$4473.45
Kenedy,0,$0.00
Randall,0,$0.00
Swisher,0,$0.00
Reeves,0,$0.00
Maverick,5,$64414.99
Webb,5,$109403.21
San Patricio,10,$203254.02
Jim Wells,11,$118806.82
Martin,0,$0.00
Dawson,2,$36673.78
Trinity,14,$295956.40
Hall,0,$0.00
Bowie,15,$283877.30
Upshur,0,$0.00
Terrell,0,$0.00
Crockett,0,$0.00
Pecos,0,$0.00
Navarro,0,$0.00
Freestone,0,$0.00
Nolan,0,$0.00
Taylor,2,$122545.34
Coleman,0,$0.00
Andrews,0,$0.00
Williamson,13,$262905.55
Potter,0,$0.00
Archer,0,$0.00
Clay,0,$0.00
Jack,0,$0.00
Young,0,$0.00
Parker,1,$31390.33
Victoria,5,$49680.88
Garza,0,$0.00
Lynn,0,$0.00
Palo Pinto,0,$0.00
Eastland,0,$0.00
Callahan,0,$0.00
Shackelford,0,$0.00
Haskell,0,$0.00
Starr,2,$15603.70
Brewster,0,$0.00
Dimmit,0,$0.00
Caldwell,9,$124456.96
Hays,49,$1106140.62
Montague,1,$6451.71
Brown,0,$0.00
Kendall,7,$57616.02
Kerr,2,$6605.69
Gillespie,0,$0.00
Cameron,8,$41441.04
Waller,9,$183672.88
Mason,0,$0.00
Collin,4,$14802.87
Hartley,0,$0.00
Gonzales,1,$1132.49
Gregg,6,$42888.88
Falls,0,$0.00
Austin,0,$0.00
Fayette,0,$0.00
Armstrong,0,$0.00
Briscoe,0,$0.00
Brazoria,1030,$30435095.73
Kimble,0,$0.00
Wilbarger,1,$45000.00
Wichita,1,$709.35
Bee,16,$503404.98
Goliad,1,$45000.00
Willacy,0,$0.00
Jasper,2,$36090.24
Newton,12,$121262.70
McCulloch,0,$0.00
Lampasas,0,$0.00
Hamilton,0,$0.00
Travis,406,$9501237.49
Kent,0,$0.00
Bastrop,1,$28678.75
Hudspeth,0,$0.00
Ward,0,$0.00
Loving,0,$0.00
Coke,0,$0.00
Castro,0,$0.00
Lipscomb,0,$0.00
Ochiltree,0,$0.00
Scurry,0,$0.00
Polk,8,$173841.30
Liberty,38,$387616.72
Stonewall,0,$0.00
Colorado,0,$0.00
Ector,1,$38000.00
Wise,1,$3285.12
Cooke,0,$0.00
Jefferson,621,$13577828.37
Howard,0,$0.00
Red River,0,$0.00
Sterling,0,$0.00
Mitchell,0,$0.00
Borden,0,$0.00
Hardeman,0,$0.00
Lamar,1,$6450.26
Throckmorton,0,$0.00
Donley,1,$1340.57
El Paso,2,$6249.42
Comanche,0,$0.00
Crane,0,$0.00
Mills,0,$0.00
Titus,0,$0.00
Stephens,0,$0.00
