Name,Total Paid Claims,Total Claim Dollars Paid
Lake,73,$852259.34
Cuyahoga,34,$253357.03
Medina,3,$17541.41
Summit,0,$0.00
Hancock,0,$0.00
Wood,0,$0.00
Defiance,0,$0.00
Huron,1,$13930.60
Lorain,3,$27054.07
Scioto,0,$0.00
Lawrence,2,$873.19
Brown,0,$0.00
Adams,0,$0.00
Franklin,25,$99899.10
Harrison,0,$0.00
Belmont,0,$0.00
Jefferson,0,$0.00
Meigs,0,$0.00
Vinton,0,$0.00
Jackson,0,$0.00
Athens,1,$1718.58
Guernsey,0,$0.00
Coshocton,0,$0.00
Pickaway,1,$20077.81
Madison,0,$0.00
Fairfield,0,$0.00
Fayette,0,$0.00
Ross,0,$0.00
Highland,0,$0.00
Marion,0,$0.00
Hardin,0,$0.00
Shelby,0,$0.00
Logan,1,$789.50
Van Wert,0,$0.00
Putnam,0,$0.00
Portage,0,$0.00
Trumbull,1,$4828.12
Geauga,4,$47137.61
Ashtabula,5,$72050.66
Sandusky,0,$0.00
Seneca,0,$0.00
Warren,0,$0.00
Butler,4,$15002.08
Montgomery,33,$217714.63
Crawford,0,$0.00
Hamilton,8,$13994.76
Hocking,1,$484.59
Darke,3,$9449.22
Carroll,0,$0.00
Stark,0,$0.00
Holmes,0,$0.00
Mahoning,1,$418.10
Ashland,1,$969.00
Delaware,0,$0.00
Knox,0,$0.00
Auglaize,0,$0.00
Licking,4,$14231.66
Lucas,6,$108171.52
Henry,0,$0.00
Williams,0,$0.00
Tuscarawas,0,$0.00
Perry,0,$0.00
Pike,0,$0.00
Clermont,1,$157.82
Clinton,0,$0.00
Union,0,$0.00
Champaign,0,$0.00
Miami,0,$0.00
Allen,1,$3451.81
Clark,0,$0.00
Mercer,0,$0.00
Gallia,2,$5315.89
Morrow,0,$0.00
Monroe,0,$0.00
Preble,4,$20520.91
Muskingum,0,$0.00
Richland,2,$2061.96
Fulton,0,$0.00
Washington,0,$0.00
Wyandot,0,$0.00
Wayne,0,$0.00
Morgan,0,$0.00
Greene,12,$237404.99
Erie,1,$500.00
Paulding,0,$0.00
Columbiana,0,$0.00
Ottawa,0,$0.00
Noble,0,$0.00
