Name,Total Paid Claims,Total Claim Dollars Paid
Lake,19,$142601.26
Cuyahoga,9,$21911.87
Medina,4,$21062.75
Summit,2,$3214.09
Hancock,0,$0.00
Wood,0,$0.00
Defiance,0,$0.00
Huron,1,$410.00
Lorain,1,$847.24
Scioto,0,$0.00
Lawrence,0,$0.00
Brown,0,$0.00
Adams,0,$0.00
Franklin,1,$815.19
Harrison,0,$0.00
Belmont,1,$362.50
Jefferson,0,$0.00
Meigs,0,$0.00
Vinton,0,$0.00
Jackson,0,$0.00
Athens,0,$0.00
Guernsey,0,$0.00
Coshocton,0,$0.00
Pickaway,0,$0.00
Madison,0,$0.00
Fairfield,0,$0.00
Fayette,0,$0.00
Ross,0,$0.00
Highland,0,$0.00
Marion,10,$38228.85
Hardin,0,$0.00
Shelby,0,$0.00
Logan,0,$0.00
Van Wert,0,$0.00
Putnam,2,$46357.00
Portage,0,$0.00
Trumbull,1,$472.75
Geauga,1,$4472.97
Ashtabula,1,$2595.82
Sandusky,1,$2210.00
Seneca,0,$0.00
Warren,0,$0.00
Butler,0,$0.00
Montgomery,0,$0.00
Crawford,16,$285199.10
Hamilton,3,$8114.01
Hocking,0,$0.00
Darke,1,$434.85
Carroll,0,$0.00
Stark,0,$0.00
Holmes,0,$0.00
Mahoning,2,$16177.74
Ashland,2,$8352.40
Delaware,3,$34366.41
Knox,0,$0.00
Auglaize,0,$0.00
Licking,4,$29520.22
Lucas,2,$23692.48
Henry,0,$0.00
Williams,0,$0.00
Tuscarawas,0,$0.00
Perry,0,$0.00
Pike,0,$0.00
Clermont,0,$0.00
Clinton,0,$0.00
Union,1,$1703.00
Champaign,0,$0.00
Miami,0,$0.00
Allen,0,$0.00
Clark,0,$0.00
Mercer,0,$0.00
Gallia,0,$0.00
Morrow,0,$0.00
Monroe,0,$0.00
Preble,0,$0.00
Muskingum,0,$0.00
Richland,27,$558955.07
Fulton,0,$0.00
Washington,0,$0.00
Wyandot,0,$0.00
Wayne,0,$0.00
Morgan,0,$0.00
Greene,1,$3260.94
Erie,86,$299920.31
Paulding,0,$0.00
Columbiana,0,$0.00
Ottawa,88,$338827.84
Noble,0,$0.00
