Name,Total Paid Claims,Total Claim Dollars Paid
Ocean,181,$1803192.22
Atlantic,80,$920971.15
Burlington,34,$217994.88
Monmouth,287,$4142396.58
Cape May,62,$391135.97
Passaic,1323,$35225893.96
Hunterdon,6,$48313.23
Union,240,$2251002.30
Hudson,79,$1902996.04
Warren,4,$37420.67
Cumberland,7,$121582.96
Salem,7,$52330.47
Sussex,4,$54771.63
Somerset,645,$15640141.70
Morris,803,$20993349.54
Middlesex,411,$9634627.30
Gloucester,20,$163924.37
Camden,33,$227587.27
Essex,232,$5626398.73
Bergen,209,$2797250.93
Mercer,12,$63990.39
