Name,Total Paid Claims,Total Claim Dollars Paid
Ocean,34594,$2470848453.02
Atlantic,10433,$419261305.34
Burlington,79,$3329657.35
Monmouth,9408,$818428949.54
Cape May,8676,$275474287.87
Passaic,21,$2793082.62
Hunterdon,0,$0.00
Union,131,$10464422.46
Hudson,1997,$142292350.13
Warren,3,$149591.33
Cumberland,190,$8633665.26
Salem,112,$3994831.32
Sussex,0,$0.00
Somerset,10,$63991.73
Morris,14,$954031.90
Middlesex,695,$53469483.87
Gloucester,25,$665363.86
Camden,33,$972743.53
Essex,85,$16382345.73
Bergen,1850,$121825279.77
Mercer,5,$86117.50
