Name,Total Paid Claims,Total Claim Dollars Paid
Ocean,47,$675153.15
Atlantic,14,$503919.81
Burlington,22,$286862.96
Monmouth,40,$589398.04
Cape May,12,$681915.94
Passaic,441,$24598751.64
Hunterdon,242,$15072878.71
Union,1266,$56526672.20
Hudson,516,$14686107.72
Warren,10,$140823.13
Cumberland,0,$0.00
Salem,19,$1408952.31
Sussex,3,$37778.44
Somerset,797,$68329166.34
Morris,137,$4514513.89
Middlesex,631,$39742005.01
Gloucester,3,$81509.57
Camden,7,$24246.63
Essex,770,$46306003.34
Bergen,1568,$75602873.54
Mercer,134,$11366571.45
